dataset,subject,source,split,X_train_shape,X_test_shape,n_rejected,bad_channels,train_counts,test_counts
2a,1,MOABB,official_session,"[288, 22, 1000]","[288, 22, 1000]",0,[],"{'left_hand': 72, 'right_hand': 72, 'feet': 72, 'tongue': 72}","{'left_hand': 72, 'right_hand': 72, 'feet': 72, 'tongue': 72}"
2a,2,MOABB,official_session,"[288, 22, 1000]","[288, 22, 1000]",0,[],"{'left_hand': 72, 'right_hand': 72, 'feet': 72, 'tongue': 72}","{'left_hand': 72, 'right_hand': 72, 'feet': 72, 'tongue': 72}"
2a,3,MOABB,official_session,"[288, 22, 1000]","[287, 22, 1000]",1,[],"{'left_hand': 72, 'right_hand': 72, 'feet': 72, 'tongue': 72}","{'left_hand': 72, 'right_hand': 72, 'feet': 72, 'tongue': 71}"
2a,4,MOABB,official_session,"[288, 22, 1000]","[288, 22, 1000]",0,[],"{'left_hand': 72, 'right_hand': 72, 'feet': 72, 'tongue': 72}","{'left_hand': 72, 'right_hand': 72, 'feet': 72, 'tongue': 72}"
2a,5,MOABB,official_session,"[288, 22, 1000]","[288, 22, 1000]",0,[],"{'left_hand': 72, 'right_hand': 72, 'feet': 72, 'tongue': 72}","{'left_hand': 72, 'right_hand': 72, 'feet': 72, 'tongue': 72}"
2a,6,MOABB,official_session,"[288, 22, 1000]","[288, 22, 1000]",0,[],"{'left_hand': 72, 'right_hand': 72, 'feet': 72, 'tongue': 72}","{'left_hand': 72, 'right_hand': 72, 'feet': 72, 'tongue': 72}"
2a,7,MOABB,official_session,"[288, 22, 1000]","[288, 22, 1000]",0,[],"{'left_hand': 72, 'right_hand': 72, 'feet': 72, 'tongue': 72}","{'left_hand': 72, 'right_hand': 72, 'feet': 72, 'tongue': 72}"
2a,8,MOABB,official_session,"[288, 22, 1000]","[288, 22, 1000]",0,[],"{'left_hand': 72, 'right_hand': 72, 'feet': 72, 'tongue': 72}","{'left_hand': 72, 'right_hand': 72, 'feet': 72, 'tongue': 72}"
2a,9,MOABB,official_session,"[288, 22, 1000]","[288, 22, 1000]",0,[],"{'left_hand': 72, 'right_hand': 72, 'feet': 72, 'tongue': 72}","{'left_hand': 72, 'right_hand': 72, 'feet': 72, 'tongue': 72}"
2b,1,MOABB,official_session,"[400, 3, 1000]","[320, 3, 1000]",0,[],"{'left_hand': 200, 'right_hand': 200}","{'left_hand': 160, 'right_hand': 160}"
2b,2,MOABB,official_session,"[400, 3, 1000]","[280, 3, 1000]",0,[],"{'left_hand': 200, 'right_hand': 200}","{'left_hand': 140, 'right_hand': 140}"
2b,3,MOABB,official_session,"[400, 3, 1000]","[320, 3, 1000]",0,[],"{'left_hand': 200, 'right_hand': 200}","{'left_hand': 160, 'right_hand': 160}"
2b,4,MOABB,official_session,"[420, 3, 1000]","[320, 3, 1000]",0,[],"{'left_hand': 210, 'right_hand': 210}","{'left_hand': 160, 'right_hand': 160}"
2b,5,MOABB,official_session,"[420, 3, 1000]","[320, 3, 1000]",0,[],"{'left_hand': 210, 'right_hand': 210}","{'left_hand': 160, 'right_hand': 160}"
2b,6,MOABB,official_session,"[400, 3, 1000]","[320, 3, 1000]",0,[],"{'left_hand': 200, 'right_hand': 200}","{'left_hand': 160, 'right_hand': 160}"
2b,7,MOABB,official_session,"[400, 3, 1000]","[320, 3, 1000]",0,[],"{'left_hand': 200, 'right_hand': 200}","{'left_hand': 160, 'right_hand': 160}"
2b,8,MOABB,official_session,"[440, 3, 1000]","[320, 3, 1000]",0,[],"{'left_hand': 220, 'right_hand': 220}","{'left_hand': 160, 'right_hand': 160}"
2b,9,MOABB,official_session,"[400, 3, 1000]","[320, 3, 1000]",0,[],"{'left_hand': 200, 'right_hand': 200}","{'left_hand': 160, 'right_hand': 160}"
